,tweet type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_date,A_text,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_date,B_text,B_network_feature_1,B_network_feature_2,B_network_feature_3,A-B_network_feature_3,A-B_listed_count,A-B_follower_count,cleaned_A_text,A_sentiment_score,A_sentiment,cleaned_B_text,B_sentiment_score,B_sentiment
10,Tweet,Kimwells67,2201,3094,8,10014,Thu Nov 22 01:45:26 +0000 2012,https://t.co/YGFzTUzKdq Hope she's moving there for good.,2,0.0,0.0,Kimwells67,3980,1974,222,4652,Fri Apr 03 09:59:51 +0000 2009,"Read @shenlulushen asking some important and uncomfortable questions about Eileen Gu, privilege, internet freedom i… https://t.co/WTC4BnKIDQ",2,0.0,0.0,0.0,-214,-1779,"['moving', 'hope', 'httpstcoygfztuzkdq', 'shes', 'good']",0.7003,Positive,"['shenlulushen', 'questions', 'httpstcowtc4bnkidq', 'asking', 'uncomfortable', 'i…', 'privilege', 'freedom', 'eileen', 'important', 'gu', 'read', 'internet']",0.7096,Positive
11,Tweet,SteveDCcoaching,59,375,1,819,Sun Dec 14 22:17:57 +0000 2014,Nikki Haley slams Eileen Gu for choosing China over the U.S. https://t.co/KHXu0noNPC via @MailOnline,2,0.0,0.0,SteveDCcoaching,3980,1974,222,4652,Fri Apr 03 09:59:51 +0000 2009,"Read @shenlulushen asking some important and uncomfortable questions about Eileen Gu, privilege, internet freedom i… https://t.co/WTC4BnKIDQ",2,0.0,0.0,0.0,-221,-3921,"['slams', 'haley', 'via', 'china', 'mailonline', 'nikki', 'choosing', 'us', 'gu', 'httpstcokhxu0nonpc', 'eileen']",0.0,Neutral,"['shenlulushen', 'questions', 'httpstcowtc4bnkidq', 'asking', 'uncomfortable', 'i…', 'privilege', 'freedom', 'eileen', 'important', 'gu', 'read', 'internet']",0.7096,Positive
12,RT,KailanRickelme_,175,356,0,60930,Sun Aug 28 23:29:05 +0000 2016,"RT @TheEconomist: The story of Eileen Gu, the American-born freestyle skier who has won gold and silver for China at the Winter Olympics ht…",1,0.0,0.116,TheEconomist,26235879,136,119545,294466,Sat May 12 13:04:50 +0000 2007,"The story of Eileen Gu, the American-born freestyle skier who has won gold and silver for China at the Winter Olymp… https://t.co/2iZ554IDXg",54,194612.035,0.147,-0.030999999999999986,-119545,-26235704,"['china', 'skier', 'silver', 'freestyle', 'rt', 'ht…', 'americanborn', 'gold', 'winter', 'gu', 'olympics', 'theeconomist', 'story', 'eileen']",0.6597,Positive,"['china', 'skier', 'silver', 'freestyle', 'americanborn', 'gold', 'winter', 'olymp…', 'gu', 'httpstco2iz554idxg', 'story', 'eileen']",0.6597,Positive
13,RT,world_news_eng,2489,38,18,1624204,Sun Jan 26 09:35:31 +0000 2020,"RT @TheEconomist: The story of Eileen Gu, the American-born freestyle skier who has won gold and silver for China at the Winter Olympics ht…",9,21872.023,0.12,TheEconomist,26235879,136,119545,294466,Sat May 12 13:04:50 +0000 2007,"The story of Eileen Gu, the American-born freestyle skier who has won gold and silver for China at the Winter Olymp… https://t.co/2iZ554IDXg",54,194612.035,0.147,-0.026999999999999996,-119527,-26233390,"['china', 'skier', 'silver', 'freestyle', 'rt', 'ht…', 'americanborn', 'gold', 'winter', 'gu', 'olympics', 'theeconomist', 'story', 'eileen']",0.6597,Positive,"['china', 'skier', 'silver', 'freestyle', 'americanborn', 'gold', 'winter', 'olymp…', 'gu', 'httpstco2iz554idxg', 'story', 'eileen']",0.6597,Positive
14,RT,raoraoraorao786,82,199,0,85144,Wed Aug 01 16:46:04 +0000 2018,"RT @TheEconomist: The story of Eileen Gu, the American-born freestyle skier who has won gold and silver for China at the Winter Olympics ht…",1,0.0,0.116,TheEconomist,26235879,136,119545,294466,Sat May 12 13:04:50 +0000 2007,"The story of Eileen Gu, the American-born freestyle skier who has won gold and silver for China at the Winter Olymp… https://t.co/2iZ554IDXg",54,194612.035,0.147,-0.030999999999999986,-119545,-26235797,"['china', 'skier', 'silver', 'freestyle', 'rt', 'ht…', 'americanborn', 'gold', 'winter', 'gu', 'olympics', 'theeconomist', 'story', 'eileen']",0.6597,Positive,"['china', 'skier', 'silver', 'freestyle', 'americanborn', 'gold', 'winter', 'olymp…', 'gu', 'httpstco2iz554idxg', 'story', 'eileen']",0.6597,Positive
15,RT,deduped_economi,260,0,29,155605,Wed Aug 12 20:39:43 +0000 2015,"RT @TheEconomist: The story of Eileen Gu, the American-born freestyle skier who has won gold and silver for China at the Winter Olympics ht…",1,0.0,0.116,TheEconomist,26235879,136,119545,294466,Sat May 12 13:04:50 +0000 2007,"The story of Eileen Gu, the American-born freestyle skier who has won gold and silver for China at the Winter Olymp… https://t.co/2iZ554IDXg",54,194612.035,0.147,-0.030999999999999986,-119516,-26235619,"['china', 'skier', 'silver', 'freestyle', 'rt', 'ht…', 'americanborn', 'gold', 'winter', 'gu', 'olympics', 'theeconomist', 'story', 'eileen']",0.6597,Positive,"['china', 'skier', 'silver', 'freestyle', 'americanborn', 'gold', 'winter', 'olymp…', 'gu', 'httpstco2iz554idxg', 'story', 'eileen']",0.6597,Positive
16,Tweet,whenhenry,10,26,0,22,Fri Jul 04 15:22:40 +0000 2014,@TheFIREorg @billmaher @EnesFreedom That's why I like Nikki Haley comment about Eileen Gu. There is no in-betwen. I… https://t.co/6udmWdzzq5,2,0.0,0.0,whenhenry,26235879,136,119545,294466,Sat May 12 13:04:50 +0000 2007,"The story of Eileen Gu, the American-born freestyle skier who has won gold and silver for China at the Winter Olymp… https://t.co/2iZ554IDXg",2,0.0,0.0,0.0,-119545,-26235869,"['inbetwen', 'haley', 'enesfreedom', 'httpstco6udmwdzzq5', 'like', 'thats', 'thefireorg', 'i…', 'nikki', 'gu', 'comment', 'billmaher', 'eileen']",0.0772,Positive,"['china', 'skier', 'silver', 'freestyle', 'americanborn', 'gold', 'winter', 'olymp…', 'gu', 'httpstco2iz554idxg', 'story', 'eileen']",0.6597,Positive
17,Tweet,TheEconomist,26235879,136,119545,294466,Sat May 12 13:04:50 +0000 2007,"The story of Eileen Gu, the American-born freestyle skier who has won gold and silver for China at the Winter Olymp… https://t.co/2iZ554IDXg",54,194612.035,0.147,TheEconomist,26235879,136,119545,294466,Sat May 12 13:04:50 +0000 2007,"The story of Eileen Gu, the American-born freestyle skier who has won gold and silver for China at the Winter Olymp… https://t.co/2iZ554IDXg",54,194612.035,0.147,0.0,0,0,"['china', 'skier', 'silver', 'freestyle', 'americanborn', 'gold', 'winter', 'olymp…', 'gu', 'httpstco2iz554idxg', 'story', 'eileen']",0.6597,Positive,"['china', 'skier', 'silver', 'freestyle', 'americanborn', 'gold', 'winter', 'olymp…', 'gu', 'httpstco2iz554idxg', 'story', 'eileen']",0.6597,Positive
18,RT,andipat100,300,283,0,46884,Sat Mar 29 20:51:52 +0000 2014,"RT @revmahoney: Eileen Gu says she wants ""to inspire girls in China."" Then why haven't you said ANYTHING about Uyghur girls who are brutali…",1,0.0,0.098,revmahoney,23390,2718,125,26876,Tue Jan 26 17:33:10 +0000 2010,"Eileen Gu says she wants ""to inspire girls in China."" Then why haven't you said ANYTHING about Uyghur girls who are… https://t.co/3PJ7ojHcP8",62,145623.438,0.118,-0.01999999999999999,-125,-23090,"['girls', 'china', 'says', 'rt', 'havent', 'inspire', 'wants', 'said', 'revmahoney', 'gu', 'anything', 'uyghur', 'brutali…', 'eileen']",0.5719,Positive,"['girls', 'china', 'says', 'havent', 'inspire', 'are…', 'httpstco3pj7ojhcp8', 'wants', 'said', 'gu', 'anything', 'uyghur', 'eileen']",0.5719,Positive
19,Tweet,PatrickEbinger,8,12,0,17,Tue Apr 21 12:08:48 +0000 2009,@eileen_gu_ Please... Just stay in China... We don't want you here in the U.S.  You have to pick a side and you have picked your side.,2,0.0,0.0,PatrickEbinger,23390,2718,125,26876,Tue Jan 26 17:33:10 +0000 2010,"Eileen Gu says she wants ""to inspire girls in China."" Then why haven't you said ANYTHING about Uyghur girls who are… https://t.co/3PJ7ojHcP8",2,0.0,0.0,0.0,-125,-23382,"['eileengu', 'china', 'want', 'stay', 'please', 'pick', 'picked', 'side', 'us', 'dont']",-0.0572,Negative,"['girls', 'china', 'says', 'havent', 'inspire', 'are…', 'httpstco3pj7ojhcp8', 'wants', 'said', 'gu', 'anything', 'uyghur', 'eileen']",0.5719,Positive
20,RT,WinstonDelauri1,418,1299,3,13590,Thu May 09 21:00:47 +0000 2019,"RT @chinanotenemy: ""Why is Eileen Gu so controversial?
Perhaps it is because as a young, biracial woman, she has dared to make a choice for…",1,0.0,0.09,chinanotenemy,3437,492,52,1817,Fri Sep 18 18:03:31 +0000 2020,"""Why is Eileen Gu so controversial?
Perhaps it is because as a young, biracial woman, she has dared to make a choic… https://t.co/wepQdOcyDL",23,40233.681,0.107,-0.017,-49,-3019,"['biracial', 'rt', 'perhaps', 'young', 'make', 'woman', 'controversial', 'gu', 'choice', 'for…', 'chinanotenemy', 'dared', 'eileen']",-0.3327,Negative,"['biracial', 'perhaps', 'young', 'make', 'woman', 'controversial', 'httpstcowepqdocydl', 'gu', 'choic…', 'dared', 'eileen']",-0.3327,Negative
21,Tweet,Bordercop7b,1202,1888,2,18302,Fri Nov 21 14:06:51 +0000 2014,"Well, I'm sure she will live a life of luxury and freedom in her new despotic country. Not a very bright young lady… https://t.co/OLsySvhzjg",2,0.0,0.0,Bordercop7b,3437,492,52,1817,Fri Sep 18 18:03:31 +0000 2020,"""Why is Eileen Gu so controversial?
Perhaps it is because as a young, biracial woman, she has dared to make a choic… https://t.co/wepQdOcyDL",2,0.0,0.0,0.0,-50,-2235,"['sure', 'well', 'lady…', 'bright', 'young', 'live', 'im', 'life', 'despotic', 'luxury', 'freedom', 'httpstcoolsysvhzjg', 'country', 'new']",0.7164,Positive,"['biracial', 'perhaps', 'young', 'make', 'woman', 'controversial', 'httpstcowepqdocydl', 'gu', 'choic…', 'dared', 'eileen']",-0.3327,Negative
22,RT,Gingeryuan22,0,34,0,7,Tue Dec 14 16:56:30 +0000 2021,"RT @quotentia: Did Eileen Gu/Gu Ailing really “defect”?  

I don’t think so, she just elected to compete for one of the two countries she w…",1,0.0,0.089,quotentia,961,2679,2,19431,Mon Aug 07 01:48:32 +0000 2017,"Did Eileen Gu/Gu Ailing really “defect”?  

I don’t think so, she just elected to compete for one of the two countr… https://t.co/ONZFqpiMlM",5,4235.0,0.106,-0.017,-2,-961,"['compete', 'think', '’', 'ailing', 'gugu', 'rt', 'quotentia', 'elected', '”', 'two', 'defect', 'one', 'really', 'countries', '“', 'w…', 'eileen']",0.0,Neutral,"['compete', 'think', '’', 'ailing', 'gugu', 'elected', '”', 'two', 'defect', 'countr…', 'one', 'httpstcoonzfqpimlm', 'really', '“', 'eileen']",0.0,Neutral
23,RT,donnawo01411717,17,103,0,169,Thu Feb 21 02:59:40 +0000 2019,"RT @realDailyWire: American-Born Eileen Gu, Competing For China, Uses Chinese Platform To Plug App Banned In China https://t.co/Kw52qZj9Eq…",1,0.0,0.088,realDailyWire,757864,2609,3220,160364,Sat Oct 31 15:42:25 +0000 2015,"American-Born Eileen Gu, Competing For China, Uses Chinese Platform To Plug App Banned In China… https://t.co/FVa67id77k",32,61413.691,0.104,-0.016,-3220,-757847,"['americanborn', 'realdailywire', 'httpstcokw52qzj9eq…', 'banned', 'china', 'chinese', 'plug', 'uses', 'rt', 'app', 'gu', 'competing', 'platform', 'eileen']",-0.4588,Negative,"['americanborn', 'banned', 'china', 'chinese', 'plug', 'httpstcofva67id77k', 'uses', 'app', 'gu', 'competing', 'platform', 'china…', 'eileen']",-0.4588,Negative
24,Tweet,markfields,468,5000,8,15275,Fri Sep 12 17:20:07 +0000 2008,#BoycottGu  Eileen Gu was born in America and came here for her education.  She should not be allowed to compete fo… https://t.co/zD5kXB4DBv,2,0.0,0.0,markfields,757864,2609,3220,160364,Sat Oct 31 15:42:25 +0000 2015,"American-Born Eileen Gu, Competing For China, Uses Chinese Platform To Plug App Banned In China… https://t.co/FVa67id77k",2,0.0,0.0,0.0,-3212,-757396,"['compete', 'came', 'boycottgu', 'born', 'education', 'allowed', 'httpstcozd5kxb4dbv', 'america', 'gu', 'fo…', 'eileen']",0.0,Neutral,"['americanborn', 'banned', 'china', 'chinese', 'plug', 'httpstcofva67id77k', 'uses', 'app', 'gu', 'competing', 'platform', 'china…', 'eileen']",-0.4588,Negative
25,RT,wecespedes,2507,4989,113,105333,Wed Sep 03 05:36:38 +0000 2008,"RT @Jingjing_Li: Ailing Eileen Gu wins #FreestyleSkiing big air gold!!!
What a fantastic jump!!!
Truly a talented, diligent, inspirational…",2,2118.0,0.094,Jingjing_Li,30939,657,166,1615,Wed Aug 10 20:01:24 +0000 2011,"Ailing Eileen Gu wins #FreestyleSkiing big air gold!!!
What a fantastic jump!!!
Truly a talented, diligent, inspira… https://t.co/pwnZsk46LS",1,0.0,0.08,0.013999999999999999,-53,-28432,"['truly', 'air', 'freestyleskiing', 'gold', 'diligent', 'wins', 'fantastic', 'ailing', 'inspirational…', 'rt', 'jingjingli', 'gu', 'big', 'jump', 'talented', 'eileen']",0.94,Positive,"['truly', 'air', 'freestyleskiing', 'gold', 'diligent', 'httpstcopwnzsk46ls', 'wins', 'fantastic', 'ailing', 'inspira…', 'talented', 'gu', 'big', 'jump', 'eileen']",0.94,Positive
26,RT,gene_loh,68,122,1,9320,Sun Nov 18 14:31:07 +0000 2012,RT @SweetSummerSN: Eileen Gu already chose freedom.,3,17926.062,0.112,SweetSummerSN,1284,477,4,2255,Mon Jan 03 06:05:55 +0000 2022,Eileen Gu already chose freedom. https://t.co/ziwHm7tnwS,33,107164.715,0.131,-0.019000000000000003,-3,-1216,"['sweetsummersn', 'already', 'chose', 'rt', 'gu', 'freedom', 'eileen']",0.6369,Positive,"['already', 'httpstcoziwhm7tnws', 'chose', 'gu', 'freedom', 'eileen']",0.6369,Positive
27,RT,RussellHeathcoe,2535,2868,0,81728,Wed May 13 16:04:04 +0000 2015,"RT @poetWOAgun: So would Olympic athlete Eileen Gu also STEAL U.S. Weapons Tech and give it to her mother's homeland of Communist China?

I…",1,0.0,0.072,poetWOAgun,41930,45956,16,31665,Fri Jan 20 14:03:07 +0000 2017,So would Olympic athlete Eileen Gu also STEAL U.S. Weapons Tech and give it to her mother's homeland of Communist C… https://t.co/1RX16VaqWx,18,31665.0,0.083,-0.01100000000000001,-16,-39395,"['mothers', 'olympic', 'china', 'poetwoagun', 'communist', 'steal', 'rt', 'also', 'would', 'tech', 'homeland', 'weapons', 'i…', 'us', 'gu', 'give', 'athlete', 'eileen']",-0.7804,Negative,"['mothers', 'olympic', 'communist', 'steal', 'also', 'httpstco1rx16vaqwx', 'would', 'tech', 'c…', 'homeland', 'weapons', 'us', 'gu', 'give', 'athlete', 'eileen']",-0.7804,Negative
28,RT,wecespedes,2507,4989,113,105333,Wed Sep 03 05:36:38 +0000 2008,"RT @SpiritofHo: ‼️ NEW ARTICLE ‼️

Eileen Gu Controversy Exposes the Importance of Racial Loyalty to the American Empire.

""The young skier…",2,2118.0,0.094,SpiritofHo,33726,1056,236,8450,Mon Jan 20 03:44:59 +0000 2014,"‼️ NEW ARTICLE ‼️

Eileen Gu Controversy Exposes the Importance of Racial Loyalty to the American Empire.

""The you… https://t.co/Jj3B7Sg5r5",42,72438.756,0.113,-0.019000000000000003,-123,-31219,"['importance', 'rt', 'new', 'article', 'skier…', 'spiritofho', 'young', '‼️', 'loyalty', 'racial', 'gu', 'controversy', 'american', 'empire', 'exposes', 'eileen']",0.6705,Positive,"['loyalty', 'importance', '‼️', 'american', 'empire', 'racial', 'you…', 'httpstcojj3b7sg5r5', 'new', 'exposes', 'gu', 'article', 'controversy', 'eileen']",0.6705,Positive
29,Tweet,AddisAlexander,1729,993,0,12647,Tue Aug 17 15:32:53 +0000 2021,#Corporate_media used the 2022 Beijing winter Olympics to create endless anti-China screeds. An athlete was even co… https://t.co/qpaIf5Kvw2,2,0.0,0.0,AddisAlexander,33726,1056,236,8450,Mon Jan 20 03:44:59 +0000 2014,"‼️ NEW ARTICLE ‼️

Eileen Gu Controversy Exposes the Importance of Racial Loyalty to the American Empire.

""The you… https://t.co/Jj3B7Sg5r5",2,0.0,0.0,0.0,-236,-31997,"['create', 'even', 'beijing', 'athlete', 'corporatemedia', 'olympics', 'used', 'antichina', 'httpstcoqpaif5kvw2', 'co…', 'screeds', 'winter', '2022', 'endless']",0.2732,Positive,"['loyalty', 'importance', '‼️', 'american', 'empire', 'racial', 'you…', 'httpstcojj3b7sg5r5', 'new', 'exposes', 'gu', 'article', 'controversy', 'eileen']",0.6705,Positive
30,Tweet,T_Suffield,4,40,2,90,Mon Nov 22 20:57:02 +0000 2021,To fill the void that @WestHam gave me. I'm now supporting Ailing Eileen GU. Skiing is cool. I hope she has a good… https://t.co/OvKxt4f4Ex,7,28186.186,0.13,T_Suffield,33726,1056,236,8450,Mon Jan 20 03:44:59 +0000 2014,"‼️ NEW ARTICLE ‼️

Eileen Gu Controversy Exposes the Importance of Racial Loyalty to the American Empire.

""The you… https://t.co/Jj3B7Sg5r5",7,28186.186,0.13,0.0,-234,-33722,"['supporting', 'ailing', 'good…', 'skiing', 'hope', 'im', 'cool', 'fill', 'httpstcoovkxt4f4ex', 'gu', 'void', 'westham', 'gave', 'eileen']",0.7964,Positive,"['loyalty', 'importance', '‼️', 'american', 'empire', 'racial', 'you…', 'httpstcojj3b7sg5r5', 'new', 'exposes', 'gu', 'article', 'controversy', 'eileen']",0.6705,Positive
31,Tweet,ConservNewsDly,4076,238,13,40951,Mon Jun 22 00:35:36 +0000 2020,"American-born 18-year-old skier Eileen Gu, competing for China at the 2022 Olympics, has been plugging her ...… https://t.co/6hmDi17Cvq",2,0.0,0.0,ConservNewsDly,33726,1056,236,8450,Mon Jan 20 03:44:59 +0000 2014,"‼️ NEW ARTICLE ‼️

Eileen Gu Controversy Exposes the Importance of Racial Loyalty to the American Empire.

""The you… https://t.co/Jj3B7Sg5r5",2,0.0,0.0,0.0,-223,-29650,"['americanborn', 'httpstco6hmdi17cvq', '2022', 'china', 'skier', '18yearold', 'olympics', 'plugging', '…', 'gu', 'competing', 'eileen']",0.0,Neutral,"['loyalty', 'importance', '‼️', 'american', 'empire', 'racial', 'you…', 'httpstcojj3b7sg5r5', 'new', 'exposes', 'gu', 'article', 'controversy', 'eileen']",0.6705,Positive
32,RT,hecksmaniac,2242,408,58,175980,Wed Jun 03 04:53:35 +0000 2009,"RT @chinanotenemy: ""Why is Eileen Gu so controversial?
Perhaps it is because as a young, biracial woman, she has dared to make a choice for…",1,0.0,0.09,chinanotenemy,3437,492,52,1817,Fri Sep 18 18:03:31 +0000 2020,"""Why is Eileen Gu so controversial?
Perhaps it is because as a young, biracial woman, she has dared to make a choic… https://t.co/wepQdOcyDL",23,40233.681,0.107,-0.017,6,-1195,"['biracial', 'rt', 'perhaps', 'young', 'make', 'woman', 'controversial', 'gu', 'choice', 'for…', 'chinanotenemy', 'dared', 'eileen']",-0.3327,Negative,"['biracial', 'perhaps', 'young', 'make', 'woman', 'controversial', 'httpstcowepqdocydl', 'gu', 'choic…', 'dared', 'eileen']",-0.3327,Negative
